1,1.00015093845723,0.991427698793979,1.00910842641313
2,0.717827139273479,0.708612479343981,0.727410664497336
4,0.509781790286349,0.500430620490479,0.51967722416288
8,0.350483158663431,0.34142139057037,0.360306512878366
16,0.245740333957385,0.236861385949338,0.255698246841012
32,0.164446294717585,0.156206581116756,0.174143356832105
64,0.116277232523668,0.108265884211302,0.126376417246885
128,0.0812643760043483,0.0736398952780016,0.091879538483326
256,0.0607749034768778,0.0523116806061925,0.0753465797546035
512,0.0502011530609672,0.0410564945643348,0.0705554373598895
1024,0.0242827883815345,0.0186417677210442,0.0436775798877557
